                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5125,                 3.8304,                 1.7537,                0.00283,                0.84848,                0.02227,                0.01089,                 1.0714,                 4.7301,                 1.5439,                 0.0874,                 0.0014,                 0.0014
                      1,                 1.2857,                 3.4902,                 1.5678,                0.00313,                0.93939,                0.28818,                0.19903,                  1.015,                 4.2001,                 1.2359,               0.073898,              0.0028981,              0.0028981
                      2,                 1.1833,                 2.9293,                  1.442,                0.00333,                      1,                0.66288,                0.46362,                0.95157,                 3.7965,                 1.1812,               0.060394,              0.0043942,              0.0043942
                      3,                 1.1701,                 2.4775,                 1.3876,                0.94039,                0.47835,                 0.6323,                0.45517,                 1.0063,                 2.7496,                 1.2408,               0.046888,              0.0058883,              0.0058883
                      4,                 1.1692,                 2.1505,                 1.4549,                0.94296,                0.50135,                0.82511,                0.53524,                0.96661,                 2.5161,                 1.2093,                0.03338,              0.0073805,              0.0073805
                      5,                 1.1966,                 1.9861,                 1.3814,                0.83437,                0.57576,                0.73513,                0.47633,                0.97364,                 2.4194,                 1.2128,               0.019871,              0.0088706,              0.0088706
                      6,                 1.2689,                 1.9829,                 1.4486,                0.95223,                0.60418,                0.74995,                0.44794,                 1.5255,                 2.2413,                 1.5419,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.2822,                 1.9755,                  1.473,                0.93277,                0.69697,                0.81178,                0.50985,                  1.036,                 2.1604,                 1.2522,              0.0099604,              0.0099604,              0.0099604
                      8,                 1.1707,                 1.9851,                 1.4455,                0.76571,                0.63636,                0.67512,                0.42289,                 1.3125,                 1.8482,                 1.3825,              0.0099538,              0.0099538,              0.0099538
                      9,                 1.2886,                 1.9463,                 1.5206,                0.60981,                0.47387,                0.50608,                0.31281,                 1.5484,                 2.3147,                 1.6664,              0.0099472,              0.0099472,              0.0099472
                     10,                 1.2011,                 1.8851,                 1.4413,                0.62072,                0.69697,                 0.6766,                0.38208,                 1.1226,                 1.8118,                  1.397,              0.0099406,              0.0099406,              0.0099406
                     11,                 1.1729,                 1.7076,                 1.3862,                0.88701,                0.63636,                0.75772,                0.46483,                 1.2984,                 1.7079,                 1.3862,               0.009934,               0.009934,               0.009934
                     12,                 1.1785,                 1.7313,                  1.392,                0.66809,                0.61008,                0.62832,                0.32072,                 1.4465,                 1.8516,                 1.5665,              0.0099274,              0.0099274,              0.0099274
                     13,                 1.2603,                 1.7746,                 1.4382,                 0.7768,                0.73845,                0.81971,                 0.5149,                 1.0215,                 1.4968,                 1.2161,              0.0099208,              0.0099208,              0.0099208
                     14,                 1.2845,                 1.7745,                 1.4246,                  0.709,                0.66454,                0.70597,                0.37034,                 1.4793,                 1.6462,                 1.5819,              0.0099142,              0.0099142,              0.0099142
                     15,                 1.2982,                 1.7219,                 1.4863,                0.65024,                0.69697,                0.71724,                0.46094,                 1.3549,                 1.6924,                 1.4612,              0.0099076,              0.0099076,              0.0099076
                     16,                 1.2638,                 1.6032,                 1.4173,                0.48263,                 0.7351,                0.56012,                0.30043,                 1.3644,                 1.9702,                  1.484,               0.009901,               0.009901,               0.009901
                     17,                 1.2345,                  1.615,                  1.433,                0.70848,                0.66667,                0.74065,                0.44927,                 1.0618,                 1.7727,                 1.3753,              0.0098944,              0.0098944,              0.0098944
                     18,                 1.1784,                 1.4673,                 1.3989,                0.77664,                0.75758,                0.80982,                0.50145,                 1.2715,                 1.5122,                  1.362,              0.0098878,              0.0098878,              0.0098878
                     19,                 1.2308,                 1.5817,                 1.4785,                0.70442,                0.65022,                0.68775,                0.42631,                 1.2891,                 1.5122,                 1.4957,              0.0098812,              0.0098812,              0.0098812
                     20,                 1.1221,                 1.3414,                  1.346,                  0.858,                0.78788,                0.85251,                0.49603,                 1.3855,                 1.3413,                 1.5339,              0.0098746,              0.0098746,              0.0098746
                     21,                 1.1355,                 1.4491,                  1.358,                0.88172,                0.57576,                0.70819,                0.37707,                 1.3723,                 1.3985,                 1.6381,               0.009868,               0.009868,               0.009868
                     22,                   1.24,                 1.4052,                  1.423,                0.81742,                 0.8141,                0.83628,                0.54162,                 1.1773,                 1.2275,                 1.4654,              0.0098614,              0.0098614,              0.0098614
                     23,                 1.2305,                 1.3775,                 1.3611,                0.65022,                0.73243,                0.73231,                0.47548,                  1.244,                 1.3912,                  1.497,              0.0098548,              0.0098548,              0.0098548
                     24,                 1.2253,                 1.3751,                 1.3992,                0.82039,                0.57576,                 0.7333,                0.43232,                  1.257,                 2.1527,                 1.4158,              0.0098482,              0.0098482,              0.0098482
                     25,                 1.2896,                 1.4127,                 1.4444,                0.94264,                0.63636,                0.75753,                0.49272,                 1.1594,                 1.9427,                 1.3845,              0.0098416,              0.0098416,              0.0098416
                     26,                 1.2979,                 1.3724,                 1.4439,                0.79384,                0.75758,                0.80303,                0.49849,                 1.1712,                 1.9707,                  1.345,               0.009835,               0.009835,               0.009835
                     27,                  1.196,                 1.2051,                  1.333,                0.86914,                0.80533,                0.87744,                0.59445,                 1.1709,                 1.5195,                 1.2989,              0.0098284,              0.0098284,              0.0098284
                     28,                 1.1361,                 1.0961,                 1.3262,                0.82433,                0.71126,                0.80919,                0.54401,                 1.1187,                 1.1014,                 1.3003,              0.0098218,              0.0098218,              0.0098218
                     29,                 1.1881,                 1.1629,                 1.3962,                0.97546,                0.69697,                0.84274,                0.56281,                 1.2087,                 1.0603,                 1.3319,              0.0098152,              0.0098152,              0.0098152
                     30,                 1.2031,                 1.1393,                 1.3503,                0.88223,                 0.6813,                0.80225,                0.53557,                 1.4495,                 1.2292,                 1.5559,              0.0098086,              0.0098086,              0.0098086
                     31,                 1.1404,                 1.1138,                 1.3185,                0.95964,                0.72727,                0.84086,                0.52089,                 1.1286,                 1.3099,                 1.3744,               0.009802,               0.009802,               0.009802
                     32,                  1.119,                 1.1165,                 1.3009,                0.94194,                0.75758,                0.82902,                0.55339,                 1.2588,                  1.209,                 1.4054,              0.0097954,              0.0097954,              0.0097954
                     33,                 1.1649,                 1.1672,                 1.3799,                 0.7351,                0.75758,                0.78022,                 0.4383,                 1.3632,                 1.3016,                 1.5282,              0.0097888,              0.0097888,              0.0097888
                     34,                 1.1244,                 1.0871,                 1.3258,                0.87849,                0.72727,                0.81205,                0.52614,                 1.2529,                 1.1389,                 1.3868,              0.0097822,              0.0097822,              0.0097822
                     35,                 1.1324,                 1.0187,                 1.2954,                0.93187,                0.82921,                0.88408,                0.49711,                 1.3908,                 1.0755,                  1.458,              0.0097756,              0.0097756,              0.0097756
                     36,                 1.1706,                 1.0739,                 1.3663,                0.95936,                0.71562,                0.84006,                0.50056,                 1.1978,                 1.1425,                 1.3827,               0.009769,               0.009769,               0.009769
                     37,                 1.0772,                 1.0208,                 1.2826,                0.85261,                0.75758,                0.78452,                0.51003,                 1.1444,                 1.2231,                  1.368,              0.0097624,              0.0097624,              0.0097624
                     38,                 1.2064,                 1.0687,                 1.3771,                0.71651,                0.78788,                0.77246,                0.49867,                 1.2846,                 1.1688,                 1.5169,              0.0097558,              0.0097558,              0.0097558
                     39,                 1.1019,                0.97014,                 1.2927,                0.81595,                0.72727,                 0.7603,                0.49098,                 1.3731,                 1.2829,                 1.4642,              0.0097492,              0.0097492,              0.0097492
                     40,                  1.158,                 1.0027,                   1.36,                0.74294,                0.70075,                0.74782,                0.45882,                  1.397,                 1.3367,                 1.5824,              0.0097426,              0.0097426,              0.0097426
                     41,                 1.1599,                 1.0477,                  1.385,                 0.9253,                0.75092,                 0.8379,                0.54371,                 1.3152,                 1.0487,                 1.4356,               0.009736,               0.009736,               0.009736
                     42,                 1.0791,                  1.073,                 1.3427,                0.98572,                0.78788,                0.87276,                0.59065,                 1.0614,                0.98732,                 1.3484,              0.0097294,              0.0097294,              0.0097294
                     43,                 1.1166,                   1.04,                 1.3377,                0.89206,                0.87879,                0.88482,                0.59704,                  1.144,                0.83208,                 1.3897,              0.0097228,              0.0097228,              0.0097228
                     44,                 1.0448,                0.91332,                 1.2778,                0.88308,                 0.6869,                0.80418,                0.52679,                 1.3425,                 1.2273,                 1.4778,              0.0097162,              0.0097162,              0.0097162
                     45,                 1.0023,                0.96009,                 1.2641,                0.76792,                0.78788,                0.85179,                0.56019,                 1.1521,                  1.032,                 1.4014,              0.0097096,              0.0097096,              0.0097096
                     46,                  1.191,                 1.0266,                  1.402,                0.84375,                0.65481,                0.68975,                0.43447,                 1.4389,                 1.3066,                 1.5407,               0.009703,               0.009703,               0.009703
                     47,                 1.1844,                 1.0591,                 1.3689,                0.81961,                0.68862,                0.73972,                0.45735,                 1.4786,                 1.2503,                 1.5066,              0.0096964,              0.0096964,              0.0096964
                     48,                 1.1842,                 1.1212,                 1.3705,                0.94133,                0.75758,                0.85481,                 0.5445,                 1.4692,                 1.0994,                 1.5006,              0.0096898,              0.0096898,              0.0096898
                     49,                 1.0927,                0.99388,                 1.2918,                0.94059,                0.72727,                 0.8227,                0.51511,                 1.3991,                 1.0549,                 1.5076,              0.0096832,              0.0096832,              0.0096832
                     50,                 1.0778,                0.94871,                 1.3121,                0.95921,                0.78788,                0.86914,                0.56458,                 1.3743,                0.85784,                 1.4413,              0.0096766,              0.0096766,              0.0096766
                     51,                 1.1341,                 1.0143,                 1.2912,                0.93289,                0.84263,                0.89143,                0.62827,                 1.1123,                0.83151,                 1.2854,                0.00967,                0.00967,                0.00967
                     52,                 1.0921,                0.95183,                 1.2953,                0.96336,                0.84848,                0.91013,                0.63234,                 1.0134,                0.73289,                 1.2754,              0.0096634,              0.0096634,              0.0096634
                     53,                 1.0071,                 0.8589,                 1.2567,                0.96146,                0.75596,                0.83813,                0.56881,                 1.0904,                 1.0701,                 1.2452,              0.0096568,              0.0096568,              0.0096568
                     54,                 1.0411,                0.88351,                  1.247,                0.99728,                0.78788,                0.87311,                0.59299,                 1.0645,                0.82687,                 1.3008,              0.0096502,              0.0096502,              0.0096502
                     55,                 1.0366,                0.84593,                 1.2842,                0.98945,                0.78788,                0.91509,                0.60736,                 1.1977,                0.84535,                 1.3092,              0.0096436,              0.0096436,              0.0096436
                     56,                 1.0501,                0.88397,                 1.2824,                0.94959,                0.72727,                0.85532,                0.58011,                 1.0916,                0.93375,                 1.2486,               0.009637,               0.009637,               0.009637
                     57,                 1.1094,                0.91078,                 1.3075,                0.96044,                0.81818,                 0.9327,                0.61403,                 1.2251,                0.74251,                 1.2909,              0.0096304,              0.0096304,              0.0096304
                     58,                 1.0397,                0.83992,                 1.2637,                0.90253,                0.87879,                0.91268,                0.60622,                 1.1356,                0.73483,                 1.2503,              0.0096238,              0.0096238,              0.0096238
                     59,                 1.0868,                0.89466,                 1.2837,                0.96035,                0.90909,                0.93169,                0.62787,                 1.2423,                0.77675,                 1.3329,              0.0096172,              0.0096172,              0.0096172
                     60,                    1.1,                0.90145,                 1.3273,                0.96814,                0.92106,                0.93588,                0.61419,                 1.2731,                0.70521,                 1.3995,              0.0096106,              0.0096106,              0.0096106
                     61,                0.99836,                0.80785,                 1.2454,                0.93621,                0.88964,                0.95048,                0.66172,                 1.0761,                0.75916,                 1.3152,               0.009604,               0.009604,               0.009604
                     62,                 1.0877,                0.99199,                 1.3433,                0.95802,                0.69173,                0.78041,                0.49486,                 1.3009,                 1.1006,                 1.3279,              0.0095974,              0.0095974,              0.0095974
                     63,                  1.063,                0.93454,                 1.2795,                0.92379,                0.84848,                0.88857,                0.57351,                 1.1134,                 0.7024,                  1.238,              0.0095908,              0.0095908,              0.0095908
                     64,                 1.0952,                0.90894,                 1.2761,                0.90263,                0.84848,                0.92811,                0.64581,                 1.0214,                0.66183,                 1.2246,              0.0095842,              0.0095842,              0.0095842
                     65,                 1.0614,                0.83711,                 1.2298,                0.87618,                0.81818,                0.86859,                0.60457,                  1.352,                0.82205,                 1.4076,              0.0095776,              0.0095776,              0.0095776
                     66,                 1.0379,                0.82322,                 1.2233,                0.91181,                0.81818,                 0.9073,                0.58531,                 1.2805,                0.81002,                 1.3243,               0.009571,               0.009571,               0.009571
                     67,                 1.0684,                0.87191,                 1.2838,                0.93341,                0.90909,                 0.9302,                0.65023,                 1.1972,                0.69883,                 1.2621,              0.0095644,              0.0095644,              0.0095644
                     68,                 1.0279,                0.77442,                 1.2718,                0.93826,                0.93939,                 0.9306,                0.66669,                0.97808,                0.60752,                 1.1886,              0.0095578,              0.0095578,              0.0095578
                     69,                 0.9771,                0.78195,                 1.2286,                0.96733,                0.89742,                 0.9192,                0.64157,                 1.1309,                0.67734,                 1.2261,              0.0095512,              0.0095512,              0.0095512
                     70,                 1.0564,                0.85957,                 1.3359,                0.92702,                0.87879,                0.91346,                0.65379,                 1.1454,                0.68524,                 1.2411,              0.0095446,              0.0095446,              0.0095446
                     71,                 1.1126,                0.94312,                 1.3471,                0.95815,                0.78788,                0.85447,                0.64351,                 1.0605,                0.77293,                  1.224,               0.009538,               0.009538,               0.009538
                     72,                 0.9994,                0.80077,                 1.2123,                      1,                0.81172,                0.87762,                0.56748,                 1.1502,                0.76977,                 1.3552,              0.0095314,              0.0095314,              0.0095314
                     73,                 1.0955,                0.89187,                 1.2932,                      1,                0.81268,                0.88903,                0.60604,                 1.2018,                0.72704,                 1.3308,              0.0095248,              0.0095248,              0.0095248
                     74,                0.96956,                0.83112,                 1.2148,                      1,                0.78026,                0.86069,                0.60683,                  1.189,                0.78444,                 1.3017,              0.0095182,              0.0095182,              0.0095182
                     75,                 1.0347,                0.82737,                 1.2886,                 0.9338,                0.90909,                0.91349,                0.61889,                 1.0372,                0.72378,                 1.2131,              0.0095116,              0.0095116,              0.0095116
                     76,                 1.0252,                0.84188,                 1.2601,                 0.9864,                0.90909,                0.91664,                0.60784,                0.96584,                0.68062,                 1.2091,               0.009505,               0.009505,               0.009505
                     77,                 0.9032,                0.74551,                 1.1935,                0.98925,                0.87879,                0.89423,                 0.6312,                0.94536,                0.69066,                 1.1713,              0.0094984,              0.0094984,              0.0094984
                     78,                0.98074,                0.78569,                 1.2385,                0.95772,                0.81818,                0.88848,                0.61652,                0.99346,                0.69742,                 1.2018,              0.0094918,              0.0094918,              0.0094918
                     79,                 1.0104,                0.73316,                 1.2287,                0.96166,                0.87879,                 0.8784,                0.58005,                 1.0393,                0.77708,                 1.2558,              0.0094852,              0.0094852,              0.0094852
                     80,                  1.008,                0.74845,                 1.1965,                0.99453,                0.87879,                0.90915,                0.60994,                 1.0198,                  0.701,                 1.1893,              0.0094786,              0.0094786,              0.0094786
                     81,                 1.0037,                0.81469,                  1.238,                0.90182,                0.83526,                0.86565,                0.60883,                 1.0344,                0.70681,                  1.196,               0.009472,               0.009472,               0.009472
                     82,                 1.0268,                0.83157,                 1.2469,                0.93306,                0.84848,                 0.8697,                0.59726,                 1.0174,                0.64917,                 1.2136,              0.0094654,              0.0094654,              0.0094654
                     83,                 1.0419,                0.76971,                 1.2411,                0.89919,                0.90909,                0.90775,                0.63194,                 1.0466,                0.69845,                 1.2126,              0.0094588,              0.0094588,              0.0094588
                     84,                 1.0572,                0.85226,                 1.2867,                0.95568,                0.84848,                0.87353,                0.62786,                  1.093,                0.66438,                   1.23,              0.0094522,              0.0094522,              0.0094522
                     85,                 1.0089,                0.81207,                 1.2257,                0.93303,                0.84452,                0.87119,                0.61013,                 1.0547,                 0.7047,                 1.2384,              0.0094456,              0.0094456,              0.0094456
                     86,                 1.0192,                0.76094,                  1.237,                0.89506,                0.81818,                0.85832,                0.57897,                 1.0731,                0.70185,                 1.2636,               0.009439,               0.009439,               0.009439
                     87,                0.96353,                0.71014,                 1.2165,                0.96338,                0.79753,                0.90738,                0.61371,                 1.0253,                0.62162,                 1.2293,              0.0094324,              0.0094324,              0.0094324
                     88,                0.90739,                0.68341,                 1.1616,                0.94963,                0.81818,                0.89066,                0.63843,                0.90711,                 0.6732,                 1.2101,              0.0094258,              0.0094258,              0.0094258
                     89,                0.95175,                0.74032,                 1.1921,                0.86388,                0.90909,                  0.918,                0.64784,                0.90943,                0.61534,                 1.1675,              0.0094192,              0.0094192,              0.0094192
                     90,                0.96706,                0.72553,                 1.2295,                0.93306,                0.84492,                0.90383,                0.65776,                0.92063,                0.59798,                 1.1229,              0.0094126,              0.0094126,              0.0094126
                     91,                 1.0062,                0.74605,                 1.2311,                0.95918,                0.84848,                0.92326,                0.60896,                 1.0512,                0.68702,                 1.2215,               0.009406,               0.009406,               0.009406
                     92,                0.95034,                0.69585,                 1.1902,                0.96258,                0.77965,                0.87877,                0.58445,                  1.109,                0.68008,                 1.2834,              0.0093994,              0.0093994,              0.0093994
                     93,                0.95044,                0.77641,                 1.2079,                 0.9624,                0.87879,                0.89506,                0.62571,                 1.0764,                0.59324,                 1.2638,              0.0093928,              0.0093928,              0.0093928
                     94,                 1.0333,                0.80715,                 1.2773,                0.96664,                0.87879,                0.92837,                0.62195,                 1.0178,                0.62002,                 1.2282,              0.0093862,              0.0093862,              0.0093862
                     95,                0.92447,                0.73063,                 1.2109,                0.99149,                0.90909,                0.91999,                 0.6188,                0.92293,                0.58703,                 1.1874,              0.0093796,              0.0093796,              0.0093796
                     96,                 0.9059,                0.69123,                 1.1699,                      1,                 0.8468,                0.92395,                0.64787,                0.96283,                 0.6216,                 1.1506,               0.009373,               0.009373,               0.009373
                     97,                0.93667,                0.71741,                 1.2033,                0.99991,                0.84848,                0.90163,                0.60939,                 1.0309,                0.67916,                   1.17,              0.0093664,              0.0093664,              0.0093664
                     98,                0.91908,                0.71383,                 1.2188,                0.96524,                0.84168,                0.91139,                 0.6512,                 1.1112,                0.63356,                 1.2015,              0.0093598,              0.0093598,              0.0093598
                     99,                0.97834,                0.74538,                 1.2471,                0.95909,                0.84848,                0.88062,                0.64504,                 1.0857,                0.59367,                 1.2177,              0.0093532,              0.0093532,              0.0093532
                    100,                0.93852,                 0.7388,                 1.1932,                0.96751,                0.90265,                0.92048,                0.66432,                 1.1051,                0.57366,                 1.2375,              0.0093466,              0.0093466,              0.0093466
                    101,                 0.8963,                0.66127,                  1.128,                0.93895,                0.93226,                0.93795,                0.65807,                 1.0478,                0.58791,                 1.2102,                0.00934,                0.00934,                0.00934
                    102,                0.89473,                  0.753,                 1.1787,                0.87656,                0.90909,                0.88899,                0.66752,                  1.112,                0.76545,                 1.2151,              0.0093334,              0.0093334,              0.0093334
                    103,                 0.9081,                 0.6737,                 1.1762,                0.93671,                0.90909,                0.94867,                0.70358,                 1.0669,                0.62148,                 1.1962,              0.0093268,              0.0093268,              0.0093268
                    104,                0.93391,                0.73036,                 1.2078,                0.92111,                0.70791,                0.83437,                0.62233,                 1.1226,                0.80603,                 1.2121,              0.0093202,              0.0093202,              0.0093202
                    105,                0.90624,                0.73019,                 1.1586,                0.89632,                0.87879,                0.91753,                0.66539,                0.94062,                0.64945,                 1.1763,              0.0093136,              0.0093136,              0.0093136
                    106,                0.93278,                0.69766,                 1.1798,                0.92666,                0.84848,                0.87701,                 0.5762,                 1.1109,                0.80308,                 1.2244,               0.009307,               0.009307,               0.009307
                    107,                0.91504,                0.63901,                 1.1324,                 0.9014,                0.87879,                0.88717,                0.64885,                0.96476,                0.63505,                 1.1491,              0.0093004,              0.0093004,              0.0093004
                    108,                 0.9677,                0.67108,                 1.2262,                0.87102,                0.81859,                0.86182,                0.65152,                 1.0068,                0.62229,                 1.1598,              0.0092938,              0.0092938,              0.0092938
                    109,                0.90604,                0.68824,                  1.159,                0.87392,                0.84848,                0.86833,                0.61799,                 0.9994,                0.60507,                 1.2159,              0.0092872,              0.0092872,              0.0092872
                    110,                0.88548,                0.66014,                 1.1433,                      1,                0.90016,                0.91828,                0.63959,                0.96864,                0.65265,                 1.1834,              0.0092806,              0.0092806,              0.0092806
                    111,                0.91423,                0.70573,                 1.1837,                 0.9591,                0.87879,                0.92693,                0.68025,                0.95615,                0.63701,                 1.1455,               0.009274,               0.009274,               0.009274
                    112,                0.86521,                0.70591,                 1.1547,                0.88334,                0.91802,                0.92803,                0.63825,                0.93338,                0.61519,                  1.154,              0.0092674,              0.0092674,              0.0092674
                    113,                0.92981,                 0.7073,                 1.1588,                0.93011,                0.90909,                0.94006,                0.65372,                 1.1271,                0.63349,                 1.2472,              0.0092608,              0.0092608,              0.0092608
                    114,                0.88329,                0.67635,                 1.1843,                0.96664,                0.87798,                0.92169,                0.66872,                 0.9108,                0.56871,                 1.1817,              0.0092542,              0.0092542,              0.0092542
                    115,                0.90256,                0.68199,                 1.1362,                0.98795,                0.84848,                0.92883,                0.68062,                0.87906,                0.60569,                 1.1618,              0.0092476,              0.0092476,              0.0092476
                    116,                0.86887,                0.65032,                  1.141,                0.99899,                0.87879,                 0.9222,                0.67338,                0.97701,                0.58023,                 1.1864,               0.009241,               0.009241,               0.009241
                    117,                0.83624,                0.60861,                 1.1186,                0.96652,                0.87482,                  0.896,                0.66531,                0.97933,                0.63996,                 1.1548,              0.0092344,              0.0092344,              0.0092344
                    118,                0.88089,                0.65811,                 1.1523,                0.96648,                0.87377,                0.92312,                0.66991,                0.96153,                 0.6113,                 1.1369,              0.0092278,              0.0092278,              0.0092278
                    119,                0.94554,                0.71459,                 1.1846,                0.95925,                0.84848,                0.88175,                0.61684,                 1.2054,                0.73325,                 1.2545,              0.0092212,              0.0092212,              0.0092212
                    120,                0.93273,                0.70713,                 1.1992,                 0.8964,                0.84848,                0.86966,                0.62716,                0.94548,                0.61297,                 1.1788,              0.0092146,              0.0092146,              0.0092146
                    121,                0.83158,                0.62166,                 1.1353,                0.96055,                0.84848,                 0.9024,                0.68004,                0.92698,                0.57527,                 1.1425,               0.009208,               0.009208,               0.009208
                    122,                0.86958,                0.70099,                 1.1695,                0.96521,                0.84086,                0.87156,                0.63407,                 1.0646,                0.60153,                 1.1951,              0.0092014,              0.0092014,              0.0092014
                    123,                0.85843,                0.66183,                 1.1342,                 0.8954,                0.87879,                0.88156,                0.64491,                0.96689,                0.57891,                 1.1683,              0.0091948,              0.0091948,              0.0091948
                    124,                 0.7882,                0.63773,                 1.1468,                0.96081,                0.81818,                0.89142,                0.66179,                0.98354,                0.62647,                   1.17,              0.0091882,              0.0091882,              0.0091882
                    125,                0.85831,                0.64362,                 1.1292,                      1,                0.81584,                0.89007,                0.65633,                0.95411,                0.69023,                 1.1491,              0.0091816,              0.0091816,              0.0091816
                    126,                0.87778,                0.64727,                  1.137,                0.95981,                0.84848,                 0.8846,                0.59025,                 1.0858,                0.71354,                  1.241,               0.009175,               0.009175,               0.009175
                    127,                0.86914,                0.73955,                 1.1613,                0.96419,                0.81588,                0.86974,                0.56941,                 1.2703,                0.71881,                 1.3474,              0.0091684,              0.0091684,              0.0091684
                    128,                0.90489,                0.67902,                 1.1821,                0.95517,                0.78788,                0.81184,                0.59234,                 1.2043,                0.72353,                 1.2958,              0.0091618,              0.0091618,              0.0091618
                    129,                0.90301,                0.67497,                 1.1908,                0.95817,                0.78788,                0.83912,                0.58747,                 1.2221,                0.71022,                 1.3017,              0.0091552,              0.0091552,              0.0091552
                    130,                0.80276,                0.58749,                 1.1503,                0.90315,                0.84779,                0.87578,                0.60079,                 1.1953,                0.61476,                 1.3137,              0.0091486,              0.0091486,              0.0091486
                    131,                0.91039,                0.66747,                 1.2316,                0.98342,                0.84848,                0.94508,                0.63091,                 1.1299,                0.59601,                 1.2127,               0.009142,               0.009142,               0.009142
                    132,                0.86208,                0.66148,                 1.1391,                0.91089,                0.84848,                0.87106,                0.61753,                 1.1649,                0.64675,                 1.2363,              0.0091354,              0.0091354,              0.0091354
                    133,                0.88958,                0.64257,                 1.1555,                0.83148,                0.90909,                0.87933,                0.61638,                 1.1245,                0.61476,                 1.2245,              0.0091288,              0.0091288,              0.0091288
                    134,                0.93089,                0.65547,                 1.1562,                 0.8501,                0.85948,                0.89635,                  0.626,                 1.1546,                0.63292,                 1.2392,              0.0091222,              0.0091222,              0.0091222
                    135,                 1.0033,                0.69395,                 1.2432,                0.91634,                0.87879,                0.87539,                0.61011,                 1.1806,                0.66124,                 1.2809,              0.0091156,              0.0091156,              0.0091156
                    136,                0.85338,                0.61373,                 1.1136,                0.90054,                0.87879,                0.89232,                 0.6192,                  1.132,                0.63266,                 1.2399,               0.009109,               0.009109,               0.009109
                    137,                 0.8235,                0.63406,                 1.1163,                0.80984,                0.90349,                0.88099,                0.65661,                  1.025,                0.67085,                 1.1506,              0.0091024,              0.0091024,              0.0091024
                    138,                 0.8812,                0.67565,                 1.1614,                0.88059,                0.93939,                0.92696,                0.68287,                0.97171,                0.64207,                 1.1352,              0.0090958,              0.0090958,              0.0090958
                    139,                0.85916,                0.62224,                 1.1353,                0.88514,                0.93418,                0.92332,                0.66563,                 1.0122,                0.58514,                 1.1728,              0.0090892,              0.0090892,              0.0090892
                    140,                0.91159,                0.65479,                 1.1944,                0.96526,                0.84213,                0.89068,                0.61489,                 1.1584,                0.56846,                 1.2769,              0.0090826,              0.0090826,              0.0090826
                    141,                0.84442,                0.64631,                 1.1526,                0.92867,                0.87879,                 0.9239,                0.64562,                 1.0193,                0.58283,                 1.1781,               0.009076,               0.009076,               0.009076
                    142,                0.82316,                 0.5944,                 1.1267,                0.85269,                0.90909,                0.88714,                0.64019,                0.91199,                 0.5966,                 1.1302,              0.0090694,              0.0090694,              0.0090694
                    143,                0.88895,                0.60292,                  1.177,                0.93649,                0.89393,                0.89935,                0.67741,                0.86242,                0.52702,                 1.1095,              0.0090628,              0.0090628,              0.0090628
                    144,                0.85409,                0.68639,                 1.1281,                0.96543,                0.84639,                0.87588,                0.64101,                0.88968,                0.57386,                 1.1317,              0.0090562,              0.0090562,              0.0090562
                    145,                0.87145,                0.65133,                 1.1412,                0.95115,                0.81818,                0.84225,                0.64601,                0.93771,                0.57724,                 1.1288,              0.0090496,              0.0090496,              0.0090496
                    146,                0.82836,                0.60838,                 1.1283,                0.95646,                0.81818,                0.85503,                0.62572,                0.96936,                0.73364,                 1.1725,               0.009043,               0.009043,               0.009043
                    147,                 0.8097,                0.59103,                 1.0926,                 0.9298,                0.87879,                0.87612,                0.62737,                 1.0962,                 0.7693,                 1.2406,              0.0090364,              0.0090364,              0.0090364
                    148,                0.89133,                0.65952,                 1.1867,                      1,                0.87612,                0.92657,                0.65316,                 1.1407,                0.61191,                  1.231,              0.0090298,              0.0090298,              0.0090298
                    149,                0.89677,                0.66241,                 1.1743,                0.93709,                0.90299,                0.90534,                0.65637,                 1.2276,                0.58495,                 1.3552,              0.0090232,              0.0090232,              0.0090232
                    150,                0.81681,                0.65781,                 1.1504,                0.96644,                0.87271,                0.85454,                 0.6379,                 1.2928,                0.62747,                 1.4233,              0.0090166,              0.0090166,              0.0090166
                    151,                0.89125,                0.67364,                 1.1744,                0.97066,                0.87879,                0.94584,                0.64871,                 1.1223,                0.58798,                 1.2516,                0.00901,                0.00901,                0.00901
                    152,                0.84464,                0.63374,                 1.1459,                0.97871,                0.81818,                0.88172,                0.62994,                 1.1004,                0.68887,                  1.242,              0.0090034,              0.0090034,              0.0090034
                    153,                0.83645,                0.62478,                  1.153,                      1,                0.90331,                0.91483,                0.61351,                 1.1113,                0.59314,                 1.2401,              0.0089968,              0.0089968,              0.0089968
